Jurisdiction,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
hti,Haiti,-,-,-,-,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19,19,19,17
hnd,Honduras,1.7,1.8,-,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28,26,29,31
hkg,Hong Kong,7.8,7.7,7.7,7.9,8.2,8,8,8.3,8.3,8.3,8.1,8.2,8.4,8.39,77,75,74,75
hun,Hungary,5,5.2,5.2,5.3,4.9,4.8,4.8,5,5.2,5.3,5.1,5.1,4.7,4.56,55,54,54,51
isl,Iceland,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82,78,79,79
ind,India,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36,36,38,38
idn,Indonesia,2,1.7,1.7,1.9,1.9,1.9,2,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32,32,34,36
irn,Iran,-,-,-,-,-,3,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28,25,27,27
irq,Iraq,-,-,-,-,-,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18,16,16,16
irl,Ireland,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8,8,7.54,69,72,74,75
isr,Israel,7.1,6.8,6.6,7.6,7.3,7,6.4,6.3,5.9,6.1,6,6.1,6.1,5.81,60,61,60,61
ita,Italy,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5,4.9,5.2,4.8,4.3,3.9,3.91,42,43,43,44
civ,Ivory Coast,3.1,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jam,Jamaica,3.8,3.8,-,-,4,3.8,3.3,3.6,3.7,3.3,3.1,3,3.3,3.34,38,38,38,41
jpn,Japan,5.8,6,6.4,7.1,7.1,7,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74,74,76,75
jor,Jordan,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5,4.7,4.49,48,45,49,53
kaz,Kazakhstan,-,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28
ken,Kenya,2.5,2,2.1,2,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27,27,25,25
kir,Kiribati,-,-,-,-,-,-,-,-,-,3.3,3.1,2.8,3.2,3.08,-,-,-,-
prk,Korea (North),-,-,-,-,-,-,-,-,-,-,-,-,-,1.01,8,8,8,8
kor,Korea (South),-,-,-,-,-,-,-,-,-,-,-,5.5,5.4,5.36,56,55,55,56
xks,Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.85,34,33,33,33
kwt,Kuwait,-,-,-,-,-,5.3,4.6,4.7,4.8,-,4.3,4.1,4.5,4.62,44,43,44,49
kwt,Kuweit,-,-,-,-,-,-,-,-,-,4.3,-,-,-,-,-,-,-,-
kgz,Kyrgyz Republic,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kgz,Kyrgyzstan,-,-,-,-,-,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2,2.12,24,24,27,28
lao,Laos,-,-,-,-,-,-,-,3.3,2.6,1.9,2,2,2.1,2.21,21,26,25,25
lva,Latvia,2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55
lbn,Lebanon,-,-,-,-,-,3,2.7,3.1,3.6,3,3,2.5,2.5,2.49,30,28,27,28
lso,Lesotho,-,-,-,-,-,-,-,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45,49,49,44
lbr,Liberia,-,-,-,-,-,-,-,2.2,-,2.1,2.4,3.1,3.3,3.19,41,38,37,37
lby,Libya,-,-,-,-,-,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21,15,18,16
ltu,Lithuania,-,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61
lux,Luxembourg,8.7,8.8,8.6,8.7,9,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80,80,82,81
mac,Macau,-,-,-,-,-,-,-,-,6.6,5.7,5.4,5.3,5,5.11,-,-,-,-
mkd,Macedonia,-,3.3,-,-,-,2.3,2.7,2.7,2.7,-,-,-,-,-,43,44,-,-
mkd,Macedonia (Former Yugoslav Republic of),-,-,-,-,-,-,-,-,-,-,3.6,-,-,-,-,-,-,-
mdg,Madagascar,-,-,-,-,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3,2.6,3.04,32,28,28,28
mwi,Malawi,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3,37,37,33,31
mys,Malaysia,5.3,5.1,4.8,5,4.9,5.2,5,5.1,5,5.1,5.1,4.5,4.4,4.31,49,50,52,50
mdv,Maldives,-,-,-,-,-,-,-,-,-,3.3,2.8,2.5,2.3,2.47,-,-,-,-
mli,Mali,-,-,-,-,-,3,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34,28,32,35
mlt,Malta,-,-,-,-,-,-,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57,56,55,56
mrt,Mauritania,-,-,-,-,-,-,-,-,3.1,2.6,2.8,2.5,2.3,2.43,31,30,30,31
mus,Mauritius,5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57,52,54,53
mex,Mexico,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34,34,35,35
mda,Moldova,-,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,-,2.9,3.3,2.9,2.88,36,35,35,33
mda,Moldovaa,-,-,-,-,-,-,-,-,-,2.8,-,-,-,-,-,-,-,-
mng,Mongolia,-,4.3,-,-,-,-,3,3,2.8,3,3,2.7,2.7,2.68,36,38,39,39
mne,Montenegro,-,-,-,-,-,-,-,-,-,3.3,3.4,3.9,3.7,3.97,41,44,42,44
mar,Morocco,3.7,4.1,4.7,-,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37,37,39,36
moz,Mozambique,-,3.5,2.2,-,-,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31,30,31,31
mmr,Myanmar,-,-,-,-,-,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15,21,21,22
nam,Namibia,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48,48,49,53
npl,Nepal,-,-,-,-,-,-,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27,31,29,27
nld,Netherlands,9,9,8.9,8.8,9,8.9,8.7,8.6,8.7,9,8.9,8.9,8.8,8.89,84,83,83,87
nzl,New Zealand,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90,91,91,88
nic,Nicaragua,3,3.1,-,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29,28,28,27
ner,Niger,-,-,-,-,-,-,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33,34,35,34
nga,Nigeria,1.9,1.6,1.2,1,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27,25,27,26
nor,Norway,9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85,86,86,87
omn,Oman,-,-,-,-,-,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47,47,45,45
pak,Pakistan,2.7,2.2,-,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27,28,29,30
pse,Palestine,-,-,-,-,-,3,-,2.6,-,-,-,-,-,-,-,-,-,-
pse,Palestinian Authority,-,-,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,-
pan,Panama,-,-,-,3.7,3,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38,35,37,39
png,Papua New Guinea,-,-,-,-,-,2.1,2.6,2.3,2.4,2,2,2.1,2.1,2.17,25,25,25,25
pry,Paraguay,1.5,2,-,-,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25,24,24,27
per,Peru,4.5,4.5,4.4,4.1,4,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38,38,38,36
phl,Philippines,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34,36,38,35
pol,Poland,4.6,4.2,4.1,4.1,4,3.6,3.5,3.4,3.7,4.2,4.6,5,5.3,5.48,58,60,61,62
prt,Portugal,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6,6.1,63,62,63,63
pri,Puerto Rico,-,-,-,-,-,-,-,-,-,-,5.8,5.8,5.8,5.59,63,62,63,-
qat,Qatar,-,-,-,-,-,5.6,5.2,5.9,6,6,6.5,7,7.7,7.16,68,68,69,71
rou,Romania,3,3.3,2.9,2.8,2.6,2.8,2.9,3,3.1,3.7,3.8,3.8,3.7,3.61,44,43,43,46
rus,Russia,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29
rwa,Rwanda,-,-,-,-,-,-,-,3.1,2.5,2.8,3,3.3,4,4.98,53,53,49,54
lca,Saint Lucia,-,-,-,-,-,-,-,-,-,6.8,7.1,7,-,7.02,71,71,-,-
vct,Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,6.1,6.5,6.4,-,5.76,62,62,67,-
wsm,Samoa,-,-,-,-,-,-,-,-,-,4.5,4.4,4.5,4.1,3.88,-,-,52,-
stp,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,2.7,2.7,2.8,3,-,42,42,42,42
stp,Sao Tome & Principe,-,-,-,-,-,-,-,-,-,-,-,-,-,2.99,-,-,-,-
sau,Saudi Arabia,-,-,-,-,-,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,44,46,49,52
sen,Senegal,3.3,3.4,3.5,2.9,3.1,3.2,3,3.2,3.3,3.6,3.4,3,2.9,2.87,36,41,43,44
srb,Serbia,-,-,-,-,-,-,-,-,3,3.4,3.4,3.5,3.5,3.31,39,42,41,40
srb,Serbia and Montenegro,-,-,-,-,-,-,2.7,2.8,-,-,-,-,-,-,-,-,-,-
srb,Serbia & Montenegro,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-,-,-
syc,Seychelles,-,-,-,-,-,-,4.4,4,3.6,4.5,4.8,4.8,4.8,4.82,52,54,55,55
sle,Sierra Leone,-,-,-,-,-,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,31,30,31,29
sgp,Singapore,9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,87,86,84,85
svk,Slovakia,-,-,-,-,-,3.7,4,4.3,4.7,4.9,5,4.5,4.3,3.97,46,47,50,51
svk,Slovak Republic,3.9,3.7,3.5,3.7,3.7,-,-,-,-,-,-,-,-,-,-,-,-,-
svn,Slovenia,-,6,5.5,5.2,6,5.9,6,6.1,6.4,6.6,6.7,6.6,6.4,5.87,61,57,58,60
slb,Solomon Islands,-,-,-,-,-,-,-,-,-,2.8,2.9,2.8,2.8,2.71,-,-,-,-
som,Somalia,-,-,-,-,-,-,-,2.1,-,1.4,1,1.1,1.1,0.98,8,8,8,8
zaf,South Africa,5.2,5,5,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,43,42,44,44
kor,South Korea,4.2,3.8,4,4.2,4.5,4.3,4.5,5,5.1,5.1,5.6,-,-,-,-,-,-,-
ssd,South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,15,15
esp,Spain,6.1,6.6,7,7,7.1,6.9,7.1,7,6.8,6.7,6.5,6.1,6.1,6.23,65,59,60,58
lka,Sri Lanka,-,-,-,-,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,40,37,38,37
sdn,Sudan,-,-,-,-,-,2.3,2.2,2.1,2,1.8,1.6,1.5,1.6,1.56,13,11,11,12
sur,Suriname,-,-,-,-,-,-,4.3,3.2,3,3.5,3.6,3.7,-,3.03,37,36,36,36
swz,Swaziland,-,-,-,-,-,-,-,2.7,2.5,3.3,3.6,3.6,3.2,3.08,37,39,43,-
swe,Sweden,9.5,9.4,9.4,9,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,88,89,87,89
che,Switzerland,8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9,9,9,8.7,8.8,86,85,86,86
syr,Syria,-,-,-,-,-,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,26,17,20,18
